,accuracy,dummy accuracy
0,0.6875,0.6875
1,0.59375,0.6875
2,0.625,0.65625
3,0.59375,0.65625
4,0.59375,0.59375
5,0.53125,0.5
6,0.59375,0.53125
7,0.71875,0.71875
8,0.5625,0.5625
9,0.625,0.59375
10,0.59375,0.5625
11,0.59375,0.5625
12,0.59375,0.53125
13,0.71875,0.71875
14,0.59375,0.59375
15,0.53125,0.5625
16,0.4375,0.53125
17,0.625,0.5625
18,0.65625,0.65625
19,0.625,0.65625
20,0.625,0.59375
21,0.5,0.53125
22,0.59375,0.625
23,0.65625,0.625
24,0.625,0.59375
25,0.6875,0.71875
26,0.625,0.78125
27,0.65625,0.59375
28,0.625,0.65625
29,0.625,0.65625
30,0.65625,0.71875
31,0.6875,0.71875
32,0.5,0.59375
33,0.46875,0.71875
34,0.625,0.78125
35,0.46875,0.4375
36,0.71875,0.625
37,0.6875,0.71875
38,0.53125,0.46875
39,0.65625,0.6875
40,0.5625,0.5625
41,0.53125,0.65625
42,0.59375,0.53125
43,0.59375,0.59375
44,0.53125,0.53125
45,0.65625,0.59375
46,0.625,0.75
47,0.6875,0.625
48,0.625,0.625
49,0.59375,0.6875
50,0.59375,0.5625
51,0.625,0.625
52,0.5625,0.5625
53,0.625,0.625
54,0.59375,0.75
55,0.6875,0.71875
56,0.6875,0.65625
57,0.65625,0.625
58,0.625,0.625
59,0.625,0.5625
60,0.71875,0.6875
61,0.59375,0.5625
62,0.59375,0.5625
63,0.625,0.625
64,0.65625,0.65625
65,0.625,0.78125
66,0.71875,0.75
67,0.59375,0.59375
68,0.53125,0.65625
69,0.625,0.625
70,0.6875,0.625
71,0.53125,0.625
72,0.4375,0.625
73,0.625,0.6875
74,0.6875,0.71875
75,0.5625,0.53125
76,0.53125,0.53125
77,0.46875,0.5
78,0.6875,0.6875
79,0.5625,0.5625
80,0.59375,0.71875
81,0.5625,0.53125
82,0.59375,0.59375
83,0.46875,0.59375
84,0.59375,0.65625
85,0.65625,0.59375
86,0.6875,0.65625
87,0.53125,0.46875
88,0.46875,0.65625
89,0.59375,0.65625
90,0.59375,0.625
91,0.53125,0.46875
92,0.625,0.65625
93,0.5625,0.53125
94,0.65625,0.625
95,0.65625,0.65625
96,0.53125,0.59375
97,0.5625,0.65625
98,0.625,0.59375
99,0.59375,0.65625
100,0.6875,0.6875
101,0.53125,0.5625
102,0.65625,0.71875
103,0.625,0.59375
104,0.65625,0.625
105,0.53125,0.59375
106,0.5625,0.6875
107,0.5625,0.5625
108,0.65625,0.59375
109,0.625,0.65625
110,0.53125,0.6875
111,0.71875,0.75
112,0.59375,0.71875
113,0.625,0.65625
114,0.71875,0.59375
115,0.625,0.59375
116,0.59375,0.65625
117,0.625,0.59375
118,0.5625,0.5625
119,0.625,0.65625
120,0.625,0.71875
121,0.53125,0.5625
122,0.59375,0.5625
123,0.65625,0.625
124,0.53125,0.71875
125,0.6875,0.65625
126,0.65625,0.65625
127,0.5625,0.65625
128,0.65625,0.59375
129,0.59375,0.625
130,0.625,0.625
131,0.625,0.6875
132,0.53125,0.5625
133,0.59375,0.5625
134,0.46875,0.59375
135,0.5625,0.71875
136,0.625,0.6875
137,0.65625,0.6875
138,0.5,0.53125
139,0.53125,0.53125
140,0.78125,0.65625
141,0.6875,0.6875
142,0.59375,0.59375
143,0.6875,0.65625
144,0.71875,0.8125
145,0.5,0.5
146,0.59375,0.59375
147,0.4375,0.46875
148,0.53125,0.6875
149,0.65625,0.625
150,0.59375,0.59375
151,0.71875,0.625
152,0.59375,0.5625
153,0.6875,0.6875
154,0.5625,0.53125
155,0.53125,0.53125
156,0.625,0.5625
157,0.6875,0.625
158,0.65625,0.5625
159,0.625,0.71875
160,0.6875,0.59375
161,0.6875,0.75
162,0.65625,0.5625
163,0.625,0.59375
164,0.65625,0.71875
165,0.59375,0.625
166,0.625,0.625
167,0.6875,0.65625
168,0.5625,0.625
169,0.6875,0.6875
170,0.75,0.71875
171,0.65625,0.65625
172,0.53125,0.5625
173,0.59375,0.59375
174,0.59375,0.59375
175,0.59375,0.625
176,0.5625,0.65625
177,0.6875,0.65625
178,0.59375,0.59375
179,0.5625,0.53125
180,0.59375,0.59375
181,0.625,0.6875
182,0.625,0.59375
183,0.6875,0.6875
184,0.5625,0.59375
185,0.5,0.5
186,0.71875,0.6875
187,0.65625,0.59375
188,0.53125,0.625
189,0.53125,0.59375
190,0.59375,0.6875
191,0.65625,0.65625
192,0.5625,0.59375
193,0.625,0.59375
194,0.65625,0.65625
195,0.59375,0.65625
196,0.625,0.6875
197,0.625,0.6875
198,0.6875,0.65625
199,0.5625,0.65625
200,0.5625,0.75
201,0.59375,0.625
202,0.625,0.5625
203,0.6875,0.75
204,0.65625,0.59375
205,0.5,0.5625
206,0.65625,0.625
207,0.625,0.65625
208,0.59375,0.71875
209,0.5625,0.5625
210,0.5,0.53125
211,0.6875,0.78125
212,0.59375,0.65625
213,0.59375,0.65625
214,0.4375,0.625
215,0.53125,0.625
216,0.59375,0.65625
217,0.59375,0.65625
218,0.625,0.625
219,0.625,0.65625
220,0.5625,0.625
221,0.625,0.75
222,0.625,0.625
223,0.59375,0.6875
224,0.625,0.625
225,0.59375,0.5625
226,0.5625,0.59375
227,0.59375,0.6875
228,0.53125,0.5625
229,0.5625,0.59375
230,0.625,0.59375
231,0.625,0.625
232,0.5625,0.71875
233,0.625,0.59375
234,0.65625,0.6875
235,0.53125,0.5
236,0.59375,0.625
237,0.65625,0.625
238,0.59375,0.59375
239,0.65625,0.6875
240,0.59375,0.53125
241,0.53125,0.53125
242,0.59375,0.59375
243,0.75,0.71875
244,0.5625,0.625
245,0.71875,0.6875
246,0.625,0.625
247,0.6875,0.75
248,0.5,0.4375
249,0.625,0.59375
250,0.53125,0.53125
251,0.59375,0.5625
252,0.5625,0.71875
253,0.625,0.625
254,0.4375,0.5
255,0.5625,0.59375
256,0.65625,0.6875
257,0.59375,0.625
258,0.65625,0.65625
259,0.65625,0.625
260,0.625,0.625
261,0.625,0.75
262,0.71875,0.6875
263,0.5625,0.53125
264,0.75,0.71875
265,0.65625,0.59375
266,0.53125,0.53125
267,0.5625,0.53125
268,0.625,0.75
269,0.65625,0.625
270,0.5625,0.65625
271,0.53125,0.5
272,0.6875,0.65625
273,0.53125,0.53125
274,0.65625,0.6875
275,0.59375,0.65625
276,0.65625,0.65625
277,0.65625,0.65625
278,0.625,0.625
279,0.5625,0.5625
280,0.59375,0.71875
281,0.59375,0.65625
282,0.71875,0.65625
283,0.5625,0.53125
284,0.625,0.59375
285,0.53125,0.78125
286,0.6875,0.65625
287,0.5,0.5
288,0.59375,0.65625
289,0.5,0.5
290,0.53125,0.625
291,0.71875,0.6875
292,0.625,0.59375
293,0.4375,0.4375
294,0.5,0.71875
295,0.5625,0.59375
296,0.5,0.75
297,0.625,0.59375
298,0.5,0.625
299,0.5625,0.65625
300,0.625,0.625
301,0.59375,0.5625
302,0.6875,0.78125
303,0.59375,0.59375
304,0.59375,0.5625
305,0.59375,0.625
306,0.625,0.75
307,0.59375,0.625
308,0.6875,0.65625
309,0.5625,0.59375
310,0.4375,0.5625
311,0.625,0.625
312,0.53125,0.6875
313,0.6875,0.6875
314,0.59375,0.59375
315,0.5625,0.71875
316,0.5625,0.5
317,0.5625,0.5625
318,0.6875,0.65625
319,0.59375,0.53125
320,0.71875,0.75
321,0.5625,0.71875
322,0.6875,0.65625
323,0.6875,0.625
324,0.59375,0.6875
325,0.59375,0.65625
326,0.6875,0.625
327,0.6875,0.625
328,0.65625,0.625
329,0.5625,0.53125
330,0.53125,0.5
331,0.59375,0.65625
332,0.59375,0.65625
333,0.6875,0.75
334,0.5625,0.53125
335,0.65625,0.65625
336,0.5,0.5
337,0.53125,0.625
338,0.5625,0.625
339,0.625,0.5625
340,0.625,0.5625
341,0.625,0.6875
342,0.625,0.65625
343,0.59375,0.625
344,0.625,0.625
345,0.65625,0.625
346,0.5625,0.5625
347,0.5625,0.5625
348,0.625,0.625
349,0.5625,0.65625
350,0.59375,0.53125
351,0.5625,0.6875
352,0.59375,0.71875
353,0.59375,0.59375
354,0.65625,0.75
355,0.5625,0.5
356,0.59375,0.75
357,0.46875,0.5
358,0.65625,0.625
359,0.59375,0.75
360,0.65625,0.625
361,0.53125,0.59375
362,0.5625,0.59375
363,0.59375,0.53125
364,0.53125,0.53125
365,0.71875,0.71875
366,0.5625,0.53125
367,0.6875,0.625
368,0.71875,0.78125
369,0.5,0.53125
370,0.5625,0.5625
371,0.6875,0.6875
372,0.625,0.84375
373,0.53125,0.53125
374,0.65625,0.625
375,0.65625,0.65625
376,0.71875,0.71875
377,0.53125,0.53125
378,0.53125,0.5625
379,0.59375,0.75
380,0.71875,0.65625
381,0.625,0.65625
382,0.59375,0.625
383,0.5625,0.59375
384,0.75,0.75
385,0.53125,0.5625
386,0.53125,0.53125
387,0.625,0.78125
388,0.625,0.59375
389,0.5625,0.5
390,0.59375,0.5
391,0.53125,0.71875
392,0.625,0.6875
393,0.59375,0.625
394,0.5,0.625
395,0.65625,0.625
396,0.65625,0.6875
397,0.59375,0.65625
398,0.65625,0.6875
399,0.59375,0.65625
400,0.625,0.625
401,0.71875,0.65625
402,0.625,0.59375
403,0.5625,0.5625
404,0.65625,0.625
405,0.625,0.5625
406,0.5625,0.625
407,0.6875,0.65625
408,0.5625,0.625
409,0.625,0.59375
410,0.71875,0.6875
411,0.65625,0.65625
412,0.59375,0.71875
413,0.53125,0.625
414,0.59375,0.59375
415,0.59375,0.5625
416,0.6875,0.6875
417,0.59375,0.625
418,0.65625,0.625
419,0.59375,0.65625
420,0.59375,0.71875
421,0.6875,0.65625
422,0.71875,0.6875
423,0.5625,0.53125
424,0.5625,0.59375
425,0.625,0.59375
426,0.59375,0.59375
427,0.65625,0.65625
428,0.5625,0.59375
429,0.59375,0.75
430,0.59375,0.625
431,0.65625,0.625
432,0.75,0.65625
433,0.53125,0.5625
434,0.53125,0.53125
435,0.59375,0.59375
436,0.625,0.5625
437,0.65625,0.625
438,0.65625,0.59375
439,0.5,0.53125
440,0.59375,0.6875
441,0.59375,0.59375
442,0.59375,0.5625
443,0.625,0.5625
444,0.5625,0.5625
445,0.65625,0.625
446,0.65625,0.625
447,0.65625,0.65625
448,0.5625,0.53125
449,0.625,0.65625
450,0.5625,0.65625
451,0.6875,0.65625
452,0.5625,0.59375
453,0.5625,0.625
454,0.65625,0.6875
455,0.6875,0.75
456,0.53125,0.6875
457,0.59375,0.59375
458,0.6875,0.78125
459,0.5,0.46875
460,0.53125,0.5
461,0.625,0.6875
462,0.65625,0.6875
463,0.59375,0.625
464,0.625,0.5625
465,0.5625,0.53125
466,0.625,0.625
467,0.625,0.6875
468,0.625,0.65625
469,0.71875,0.65625
470,0.65625,0.65625
471,0.6875,0.75
472,0.5,0.5
473,0.5625,0.5625
474,0.5625,0.65625
475,0.5625,0.53125
476,0.59375,0.59375
477,0.65625,0.6875
478,0.625,0.625
479,0.625,0.65625
480,0.5625,0.53125
481,0.71875,0.6875
482,0.5625,0.53125
483,0.65625,0.65625
484,0.53125,0.53125
485,0.53125,0.59375
486,0.65625,0.625
487,0.5625,0.625
488,0.59375,0.5625
489,0.59375,0.65625
490,0.71875,0.75
491,0.6875,0.75
492,0.625,0.59375
493,0.65625,0.65625
494,0.5,0.46875
495,0.6875,0.65625
496,0.53125,0.625
497,0.65625,0.65625
498,0.6875,0.625
499,0.625,0.6875
500,0.625,0.6875
501,0.625,0.53125
502,0.65625,0.625
503,0.625,0.5625
504,0.78125,0.6875
505,0.625,0.53125
506,0.5625,0.53125
507,0.65625,0.59375
508,0.5625,0.65625
509,0.59375,0.5625
510,0.65625,0.6875
511,0.65625,0.625
512,0.5625,0.8125
513,0.65625,0.65625
514,0.65625,0.65625
