original_paper_ID,original_paper_bib,abstract,replication_score
O1,"Vitevitch, M. S. and Stamer, M. K. 2006. The curious case of competition in Spanish speech production. Language and Cognitive Processes, 21: 760–770.","In previous studies in English examining the influence of phonological neighbourhood density in spoken word production, words with many similar sounding words, or a dense neighbourhood, were produced more quickly and accurately than words with few similar sounding words, or a sparse neighbourhood. The influence of phonological neighbourhood density on the process of spoken word production in Spanish was examined with a picture-naming task. The results showed that pictures with Spanish names from sparse neighbourhoods were named more quickly than pictures with Spanish names from dense neighbourhoods. The present pattern of results is the opposite of what has been previously found in speech production in English. We hypothesise that differences in the morphology of Spanish and English and/or the location in the word where phonological neighbours tend to occur may contribute to the processing differences observed in the two languages. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",yes
O2,"Cutler, A. , Mehler, J. , Noh, D. , and Seguí, J. , 1983. A language-specific comprehension strategy , Nature 304 (1983), pp. 159–160 ""and"" Cutler, A. , Mehler, J. , Nonis, D. ,","Infants acquire whatever language is spoken in the environment into which they are born. The mental capability of the newborn child is not biased in any way towards the acquisition of one human language rather than another. Because psychologists who attempt to model the process of language comprehension are interested in the structure of the human mind, rather than in the properties of individual languages, strategies which they incorporate in their models are presumed to be universal, not language-specific. In other words, strategies of comprehension are presumed to be characteristic of the human language processing system, rather than, say, the French, English, or Igbo language processing systems. We report here, however, on a comprehension strategy which appears to be used by native speakers of French but not by native speakers of English.",partial
O2,"Seguí, J. , 1986. The syllable's differing role in the segmentation of French and English , Journal of Memory and Language 25 (1986), pp. 385–400.","Speech segmentation procedures may differ in speakers of different languages. Earlier work based on French speakers listening to French words suggested that the syllable functions as a segmentation unit in speech processing. However, while French has relatively regular and clearly bounded syllables, other languages, such as English, do not. No trace of syllabifying segmentation was found in English listeners listening to English words, French words, or nonsense words. French listeners, however, showed evidence of syllabification even when they were listening to English words. We conclude that alternative segmentation routines are available to the human language processor. In some cases speech segmentation may involve the operation of more than one procedure.",partial
O3,"Braun , B. , & Tagliapietra , L. 2009 The role of contrastive intonation contours in the retrieval of contextual alternatives . Language and Cognitive Processes . Advance online publication doi: doi:10.1080/01690960903036836","Sentences with a contrastive intonation contour are usually produced when the speaker entertains alternatives to the accented words. However, such contrastive sentences are frequently produced without making the alternatives explicit for the listener. In two cross-modal associative priming experiments we tested in Dutch whether such contextual alternatives become available to listeners upon hearing a sentence with a contrastive intonation contour compared with a sentence with a non-contrastive one. The first experiment tested the recognition of contrastive associates (contextual alternatives to the sentence-final primes), the second one the recognition of non-contrastive associates (generic associates which are not alternatives). Results showed that contrastive associates were facilitated when the primes occurred in sentences with a contrastive intonation contour but not in sentences with a non-contrastive intonation. Non-contrastive associates were weakly facilitated independent of intonation. Possibly, contrastive contours trigger an accommodation mechanism by which listeners retrieve the contrast available for the speaker.",yes
O4,"Cutler, A., Mehler, J., Morris, D. and Seguí, J. 1986. The syllable's differing role in the segmentation of French and English. Journal of Memory and Language, 25: 385–400.","Speech segmentation procedures may differ in speakers of different languages. Earlier work based on French speakers listening to French words suggested that the syllable functions as a segmentation unit in speech processing. However, while French has relatively regular and clearly bounded syllables, other languages, such as English, do not. No trace of syllabifying segmentation was found in English listeners listening to English words, French words, or nonsense words. French listeners, however, showed evidence of syllabification even when they were listening to English words. We conclude that alternative segmentation routines are available to the human language processor. In some cases speech segmentation may involve the operation of more than one procedure.",no
O5,"Rastle, K. and Davis, M. H. 2008. Morphological decomposition based on the analysis of orthography. Language and Cognitive Processes, 23: 942–971.","Recent theories of morphological processing have been dominated by the notion that morphologically complex words are decomposed into their constituents on the basis of their semantic properties. In this article we argue that the weight of evidence now suggests that the recognition of morphologically complex words begins with a rapid morphemic segmentation based solely on the analysis of orthography. Following a review of this evidence, we discuss the characteristics of this form of decomposition, speculate on what its purpose might be, consider how it might be learned in the developing reader, and describe what is known of its neural bases. Our discussion ends by reflecting on how evidence for semantically based decomposition might be (re)interpreted in the context of the orthographically based form of decomposition that we have described.",no
O6,"Grosjean, F. (1983). How long is the sentence? Prediction and prosody in the on-line processing of language. Linguistics, 21, 501–529.","The gating paradigm (Grosjean 1980) was used to determine whethersubjects who are listening to the 'potentially last word' of a sentence (in thiscase, a noun before an optional prepositional phrase) can indicate whetherthe sentence is over or not, and if it is not over, how much longer it will last.Sentences that contained endings ranging in length from zero to nine wordswere gated on the object noun and presented to subjects who had to choosewhich of four sentences was being presented or press a key at a point in timewhen they felt the sentence would have ended had it been presented in full.Results showed that, basing themselves solely on prosodic cues, subjectswere surprisingly accurate at predicting the length of the upcoming endings.An acoustic analysis of the test sentences showed a strong relationshipbetween measures of fundamental frequency, amplitude, and duration andthe experimental data. These findings are discussed in terms of the predictiveand interpretative roles of prosody during the on-line processing of lan-guage",yes
O7,"Connolly, A. C., Fodor, J. A., Gleitman, L. R. and Gleitman, H. 2007. Why stereotypes don't even make good defaults. Cognition, 103: 1–22.","Many concepts have stereotypes. This leaves open the question of whether concepts are stereotypes. It has been argued elsewhere that theories that identify concepts with their stereotypes or with stereotypical properties of their instances (e.g., Rosch, E. (1978). Principles of categorization. In E. Rosch & B. B. Lloyd (Ed.), Cognition and Categorization. Hillsdale, NJ: Lawrence Erlbaum Associates; Smith, E. E., Medin, D. L. (1981). Categories and Concepts. Cambridge, MA: Harvard University Press.) fail to provide an adequate account of the compositionality of concepts (Fodor, J., Lepore, E. (1996). The red herring and the pet fish: Why concepts still cannot be prototypes. Cognition, 58, 253-270.; Fodor, J. (1998). Concepts: Where cognitive science went wrong. New York, NY: Oxford University Press.). This paper extends this argument and reports an experiment suggesting that participants do not assume, even as a default strategy, that complex concepts inherit the stereotypes of their constituents. Thus propositions such as ""Baby ducks have webbed feet"" were judged to be less likely to be true than propositions like ""Ducks have webbed feet."" Moreover, manipulation of the type and number of noun phrase modifiers revealed a systematic departure from the unmodified noun's stereotype both with the addition of stereotypical modifiers (""Quacking ducks have webbed feet"" versus ""Ducks have webbed feet"") and with the addition of a second modifier (""Baby Peruvian ducks have webbed feet"" versus ""Baby ducks have webbed feet""). Thus, in the general case the stereotypical properties of a head noun are systematically discounted when that head noun combines with modifiers. This effect represents a general principle of conceptual combination that argues against the inheritance of stereotypical features of concepts as a default strategy. Instead, we advocate a model of conceptual combination where concepts remain inert under combination, supported by a separate machinery that introduces pragmatic and knowledge-dependent inferences.",yes
O8,"Holmes, V. M., Kennedy, A., & Murray, W. S. (1987). Syntactic structure and the garden path. The Quarterly Journal of Experimental Psychology Section A, 39(2), 277–293. https://doi.org/10.1080/14640748708401787","Investigated ambiguous English sentences containing complement verbs such as believe, followed by a direct object or by a complement clause. These 2 sentence types were compared with unambiguous sentences with complement clauses introduced by the word that. 33 undergraduates processed numerous sentences in a word-by-word reading task. At the disambiguation point after the ambiguous noun phrase, longer reading times were obtained for reduced complement constructions compared with direct sentences and for the unambiguous that complements. It is concluded that complexity difference does not represent ""garden-pathing"" and reanalysis as a result of the operation of minimal attachment, proposed by L. Frazier and K. Rayner (see record 1982-20309-001), but may reflect the extra complexity caused by having to handle 2 sets of clausal relations instead of just one.",yes
O9,"Costa, A., Alario, F-X and Caramazza, A. 2005. On the categorical nature of the semantic interference effect in the picture-word interference paradigm. Psychonomic Bulletin and Review, 12: 125–131.","Two picture-word interference experiments are reported in which the boundaries of the semantic interference effect are explored. In both experiments, participants named pictures (e.g., a picture of a car) that appeared with superimposed word distractors. Distractor words from the same semantic category as the word for the picture (e.g., CAR) produced semantic interference, whereas semantically related distractors from a different category (e.g., BUMPER) led to semantic facilitation. In Experiment 2, the semantic facilitation from semantically related distractors was replicated. These results indicate that a semantic relationship between picture and distractor does not necessarily lead to interference and in fact can lead to facilitation. In all but one case tested until now, a semantic relationship between picture and distractor has led to semantic facilitation. The implications of these results for the assumption that the semantic interference effect arises as a consequence of lexical competition are discussed.",yes
O10,"Prevor, M. D. and Diamond, A. 2005. Color-object interference in young children: A Stroop effect in children 3½–6½ years old. Cognitive Development, 20: 256–274.","The Stroop color-word task cannot be administered to children who are unable to read. However, our color-object Stroop task can. One hundred and sixty-eight children of 3½-6½ years (50% female; 24 children at each 6-month interval) were shown line drawings of familiar objects in a color that was congruent (e.g., an orange carrot), incongruent (e.g., a green carrot), or neutral (for objects having no canonical color [e.g., a red book]), and abstract shapes, each drawn in one of six colors. Half the children were asked to name the color in which each object was drawn, and half were to name each object. Children's predominant tendency was to say what the object was; when instructed to do otherwise they were slower and less accurate. Children were faster and more accurate at naming the color of a stimulus when the form could not be named (abstract shape) than when it could, even if in its canonical color. The heightened interference to color-naming versus object-naming was not due to lack of familiarity with color names or group differences: Children in the color condition were as fast and accurate at naming the colors of abstract shapes as were children in the form condition at naming familiar objects.",yes
O11,"Bybee, J. L., & Moder, C. L. (1983). Morphological Classes as Natural Categories. Language, 59(2), 251–270. https://doi.org/10.2307/413574","The most productive class of strong verbs in English is that exemplified by the verb string/strung. Both historical and experimental evidence show that the class is phono- logically defined. However, the members do not share a single set of phonological fea- tures. Rather, the class is organized around a prototypical member (in the sense of Rosch 1978), to which the other members stand in a family-resemblance relation (in the sense of Wittgenstein 1953). The defining attributes of the class include the final consonants as well as the initial consonants and consonant clusters, and to a lesser extent the vowel of the base verb. The organization of the formal aspects of linguistic units is shown to follow the same principles as the organization of the content of the linguistic units. The phonological shapes of verbs in morphological classes can be organized into natural categories, like other natural and cultural objects",yes
O12,"Fowler, CA. and Housum, J. 1987. Talkers' signalling of “new” and “old” words in speech and listeners' perception and use of the distinction. Journal of Memory and Language, 26: 489–504.","An experiment examines talkers' utterances of words produced for the first time in a monolog (“new” words) or for the second time (“old” words). The finding is that talkers distinguish old words by shortening them. Two experiments show that old words are less intelligible than new words presented in isolation, but probably are not less identifiable in context. We infer that talkers may attenuate their productions of words when they can do so without sacrificing communicative efficacy. Old words can be reduced because they are repetitions of earlier presented items and because of the contextual support they receive. Two final experiments show that listeners can identify new and old words as such and that they can use information that a word is old more or less as they would use an anaphor to promote retrieval of the earlier production in its context.",yes
O13,"Collins, A. F., & Ellis, A. W. (1992). Phonological priming of lexical retrieval in speech production. British Journal of Psychology, 83, 375–388. https://doi.org/10.1111/j.2044-8295.1992.tb02448.x","We report a series of three experiments exploring phonological priming effects in speech production. In all cases, subjects repeated aloud auditorily presented primes and then named picture targets. Experiment 1 showed that targets were named faster when prime and target shared phonemes but only when these occupied the same word or syllabic positions. Experiment 2 showed that the degree of facilitation was unaffected by the lexicality of the prime or whether shared phonemes occurred early or late in the syllable. Experiment 3 examined the effect of the lexicality of the prime at different intervals between response and prime in an attempt to tease apart contributions to the effect from automatic and strategic processes. The results are considered in relation to current accounts of lexical retrieval.",no
O14,"Main: ""Ventura, P., Morais, J., Pattamadilok, C. and Kolinsky, R. 2004. The locus of the orthographic consistency effect in auditory word recognition. Language and Cognitive Processes, 19: 57–95."" Secondary: ""Ziegler, J. C. and Ferrand, L. 1998. Orthography shapes the perception of speech: The consistency effect in auditory recognition. Psychonomic Bulletin and Review, 5: 683–689.""","In Experiments 1-2, we replicated with two different Portuguese materials the consistency effect observed for French by Ziegler and Ferrand (1998). Words with rimes that can be spelled in two different ways (inconsistent) produced longer auditory lexical decision latencies and more errors than did consistent words. In Experiment 3, which used shadowing, no effect of orthographic consistency was found. This task difference could reflect the confinement of orthographic influences to either decisional or lexical processes. In Experiment 4, we tried to untangle these two interpretations by comparing two situations in which a shadowing response was made contingent upon either a lexical or a phonemic criterion. A significant effect of orthographic consistency was observed only in lexically contingent shadowing. We thus argue that lexical but not sublexical processes are affected by orthographic consistency. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",yes
O15,"Wheeldon, L. R. and Levelt, W. J. M. 1995. Monitoring the time course of phonological encoding. Journal of Memory and Language, 34: 311–334.","Three experiments examined the time course of phonological encoding in speech production. A new methodology is introduced in which subjects are required to monitor their internal speech production for prespecified target segments and syllables. Experiment 1 demonstrated that word initial target segments are monitored significantly faster than second syllable initial target segments. The addition of a concurrent articulation task (Experiment 1b) had a limited effect on performance, excluding the possibility that subjects are monitoring a subvocal articulation of the carrier word. Moreover, no relationship was observed between the pattern of monitoring latencies and the timing of the targets in subjects′ overt speech. Subjects are not, therefore, monitoring an internal phonetic representation of the carrier word. Experiment 2 used the production monitoring task to replicate the syllable monitoring effect observed in speech perception experiments: responses to targets were faster when they corresponded to the initial syllable of the carrier word than when they did not. We conclude that subjects are monitoring their internal generation of a syllabified phonological representation. Experiment 3 provides more detailed evidence concerning the time course of the generation of this representation by comparing monitoring latencies to targets within, as well as between, syllables. Some amendments to current models of phonological encoding are suggested in light of these results.",yes
O16,"Laganaro, M., & Alario, F. (2006). On the locus of the syllable frequency effect in speech production. Journal of Memory and Language, 55(2), 178–196. doi:10.1016/j.jml.2006.05.001","The observation of a syllable frequency effect in naming latencies has been an argument in favor of a functional role of stored syllables in speech production. Accordingly, various theoretical models postulate that a repository of syllable representations is accessed during phonetic encoding. However, the direct empirical evidence for locating the syllable frequency effect at this level, rather than at the phonological or motor programming levels, is scarce. To investigate the origin of this effect, we conducted six experiments involving immediate and delayed production, with or without an interfering task (articulatory suppression). Previous evidence from psycholinguistic and short-term memory studies allows the working hypothesis that this interfering task disrupts phonetic processing, while leaving phonological encoding relatively intact. Experiments 1 and 3 showed a syllable frequency effect in immediate pseudo-word production and picture naming, respectively. Experiments 2 and 4 required delayed naming (participants produced the items after a short delay, upon presentation of a response cue). The delay was or was not filled with articulatory suppression. The syllable frequency effect was not observed in standard delayed naming. By contrast, it was observed when the delay was filled with articulatory suppression. The effects for words and pseudo-words were highly similar. This pattern of results is interpreted as evidence that syllable frequency affects the stage of phonetic encoding. This interpretation is consistent with the previously postulated hypothesis that phonetic encoding involves the retrieval of syllable sized representations.",partial
O17,"Lowder MW, & Ferreira F (2016b). Prediction in the processing of repair disfluencies: Evidence from the visual-world paradigm. Journal of Experimental Psychology: Learning, Memory, and Cognition, 42, 1400–1416. doi: 10.1037/xlm0000256","Two visual-world eye-tracking experiments investigated the role of prediction in the processing of repair disfluencies (e.g., The chef reached for some salt uh I mean some ketchup…). Experiment 1 showed that listeners were more likely to fixate a critical distractor item (e.g., pepper) during the processing of repair disfluencies compared to the processing of coordination structures (e.g., …some salt and also some ketchup…). Experiment 2 replicated the findings of Experiment 1 for disfluency versus coordination constructions and also showed that the pattern of fixations to the critical distractor for disfluency constructions was similar to the fixation patterns for sentences employing contrastive focus (e.g., …not some salt but rather some ketchup…). The results suggest that similar mechanisms underlie the processing of repair disfluencies and contrastive focus, with listeners generating sets of entities that stand in semantic contrast to the reparandum in the case of disfluencies or the negated entity in the case of contrastive focus.",yes
O18,"New, B., Araújo, V., & Nazzi, T. (2008). Differential processing of consonants and vowels in lexical access through reading. Psychological Science, 19(12), 1223–1227. https://doi.org/10.1111/j.1467-9280.2008.02228.x","Do consonants and vowels have the same importance during reading? Recently, it has been proposed that consonants play a more important role than vowels for language acquisition and adult speech processing. This proposal has started receiving developmental support from studies showing that infants are better at processing specific consonantal than vocalic information while learning new words. This proposal also received support from adult speech processing. In our study, we directly investigated the relative contributions of consonants and vowels to lexical access while reading by using a visual masked-priming lexical decision task. Test items were presented following four different primes: identity (e.g., for the word joli, joli), unrelated (vabu), consonant-related (jalu), and vowel-related (vobi). Priming was found for the identity and consonant-related conditions, but not for the vowel-related condition. These results establish the privileged role of consonants during lexical access while reading.",yes
O19,"Patson, N. D., & Ferreira, F. (2009). Conceptual plural information is used to guide early parsing decisions: Evidence from garden-path sentences with reciprocal verbs. Journal of Memory and Language, 60(4), 464–486. doi: 10.1016/j.jml.2009.02.003","In three eyetracking studies, we investigated the role of conceptual plurality in initial parsing decisions in temporarily ambiguous sentences with reciprocal verbs (e.g., While the lovers kissed the baby played alone). We varied the subject of the first clause using three types of plural noun phrases: conjoined noun phrases (the bride and the groom), plural definite descriptions (the lovers), and numerically quantified noun phrases (the two lovers). We found no evidence for garden-path effects when the subject was conjoined (Ferreira & McClure, 1997), but traditional garden-path effects were found with the other plural noun phrases. In addition, we tested plural anaphors that had a plural antecedent present in the discourse. We found that when the antecedent was conjoined, garden-path effects were absent compared to cases in which the antecedent was a plural definite description. Our results indicate that the parser is sensitive to the conceptual representation of a plural constituent. In particular, it appears that a Complex Reference Object (Moxey et al., 2004) automatically activates a reciprocal reading of a reciprocal verb.",yes
